Subject,Type,Total Household Gifts Currency,Total Household Gifts,Due Date,Activity ID,Contact ID
? Email: See you next Monday!,1 Email,HKD,49950,10/21/2016,00T9000003Df6Jb,00390000021Zglj
? Email: Re: Invitation to ICM's annual banquet : Oct 24,1 Email,HKD,49950,9/27/2016,00T9000003AFPw9,00390000021Zglj
? Email: Skip-A-Trip: Apr 1-4,1 Email,HKD,49950,2/21/2017,00T9000003SOagv,00390000021Zglj
Trip,0 Other,HKD,49950,4/18/2017,00T9000003Z9Q3S,00390000021Zglj
? Email: Service trip during CNY?,1 Email,HKD,49950,1/10/2017,00T9000003N8I6x,00390000021Zglj
? Email: Pls read: April 1-4 Skip A Trip meeting,1 Email,HKD,49950,3/13/2017,00T9000003Ue8JA,00390000021Zglj
? Email: Re: Invitation to ICM's annual banquet : Oct 24,1 Email,HKD,49950,9/20/2016,00T90000038VDQW,00390000021Zglj
? Email: Invitation to ICM's annual banquet : Oct 24,1 Email,HKD,49950,9/20/2016,00T90000038V854,00390000021Zglj
? Email: Re: Pls read: April 1-4 Skip A Trip meeting,1 Email,HKD,49950,3/18/2017,00T9000003VSTcR,00390000021Zglj
? Email: ICM Hong Kong Banquet - celebrating 25th Anniversary,1 Email,HKD,49950,3/20/2017,00T9000003VT7pU,00390000021Zglj
"Email: ICM banquet One Week Away - Oct 24, Monday",1 Email,HKD,49950,10/18/2016,00T9000003Dd0W5,00390000021Zglj
Email: Fwd: 170402 - CMF SAT - Registration,1 Email,HKD,49950,3/6/2017,00T9000003Tomjd,00390000021Zglj
Email: Fwd: 170402 - CMF SKIP A TRIP - Expense Report,1 Email,HKD,49950,3/9/2017,00T9000003UcMZK,00390000021Zglj
Email: Fwd: 170402 - CMF SAT - ETICKET,1 Email,HKD,49950,3/27/2017,00T9000003WEJhi,00390000021Zglj
? Email: ICM giving thank you,1 Email,HKD,2000,10/3/2016,00T9000003AHci1,0039000001A03AV
