Household: First Gift Date,Household: Household ID,First Gift FY
6/3/2013,a0090000009b5zt,2013
6/3/2013,a0090000009b5zt,2013
6/3/2013,a009000000DTUMV,2013
6/3/2013,a0090000009b6Rw,2013
6/3/2013,a009000000DTUMK,2013
6/3/2013,a009000000DTULz,2013
6/3/2013,a0090000009b5zt,2013
6/3/2013,a0090000009b5zt,2013
6/3/2013,a0090000009b5zt,2013
6/3/2013,a0090000009b5zt,2013
6/4/2013,a009000000DTUNC,2013
6/4/2013,a0090000009b6Fk,2013
6/4/2013,a009000000DTUMP,2013
6/4/2013,a009000000DTULh,2013
6/4/2013,a009000000DTULk,2013
6/5/2013,a009000000BmOJH,2013
6/5/2013,a009000000KpF1l,2013
6/5/2013,a0090000009b5zC,2013
6/5/2013,a009000000DTUMS,2013
6/5/2013,a009000000DTUMS,2013
6/5/2013,a0090000009b6Df,2013
6/5/2013,a0090000009b6Df,2013
6/5/2013,a009000000DTUMA,2013
6/5/2013,a009000000Bj1b4,2013
6/5/2013,a009000000Bj1b4,2013
6/5/2013,a009000000Bj1b4,2013
6/5/2013,a009000000DTUMb,2013
6/5/2013,a009000000DTUMM,2013
6/5/2013,a009000000DTUMm,2013
6/5/2013,a009000000DTUMH,2013
6/5/2013,a009000000DTUME,2013
6/5/2013,a009000000KpF1l,2013
6/5/2013,a009000000KpF1l,2013
6/5/2013,a009000000DTUMT,2013
6/5/2013,a009000000DTUMN,2013
6/5/2013,a009000000DTULm,2013
6/5/2013,a0090000009b6QS,2013
6/5/2013,a009000000DTUM6,2013
6/5/2013,a009000000DTUMF,2013
6/5/2013,a009000000DTUMF,2013
6/5/2013,a009000000DWETF,2013
6/5/2013,a009000000DTUMC,2013
6/5/2013,a009000000DTUMO,2013
6/5/2013,a009000000G6s1w,2013
6/5/2013,a009000000G6s1w,2013
6/5/2013,a009000000DTUMy,2013
6/5/2013,a009000000DTUMk,2013
6/5/2013,a009000000DTUMg,2013
6/5/2013,a009000000DTUMZ,2013
6/5/2013,a009000000DTUMZ,2013
6/5/2013,a009000000DTUMY,2013
6/5/2013,a009000000DTUMR,2013
6/5/2013,a009000000DTUMI,2013
6/5/2013,a009000000DTUMG,2013
6/5/2013,a009000000DTUM8,2013
6/5/2013,a009000000CQsPM,2013
6/5/2013,a009000000CQsPM,2013
6/5/2013,a0090000009b63m,2013
6/5/2013,a0090000009b5zC,2013
6/5/2013,a0090000009b5zC,2013
6/5/2013,a0090000009b5zC,2013
6/5/2013,a009000000DTUMi,2013
6/5/2013,a009000000BmOJH,2013
6/5/2013,a009000000G3Rua,2013
6/5/2013,a009000000DWEVF,2013
6/5/2013,a009000000DTUMo,2013
6/5/2013,a009000000DTUMU,2013
6/5/2013,a009000000DTUMB,2013
6/5/2013,a009000000Bj1b4,2013
6/5/2013,a009000000BmOJH,2013
6/5/2013,a009000000BmOJH,2013
6/5/2013,a009000000BmOJH,2013
6/5/2013,a009000000DTUMS,2013
6/5/2013,a009000000DTUMS,2013
6/5/2013,a009000000Bj1b4,2013
6/5/2013,a009000000KpF1l,2013
6/5/2013,a009000000Bj1b4,2013
6/5/2013,a009000000DTUM6,2013
6/5/2013,a009000000DTUM6,2013
6/6/2013,a009000000DWEV3,2013
6/7/2013,a009000000DTULn,2013
6/7/2013,a009000000DWEQb,2013
6/7/2013,a009000000DTULj,2013
6/7/2013,a009000000DWEQa,2013
6/7/2013,a009000000DWEQX,2013
6/7/2013,a009000000DTULr,2013
6/7/2013,a009000000DTULb,2013
6/7/2013,a009000000DTULX,2013
6/7/2013,a009000000DWEQc,2013
6/7/2013,a009000000DWEQc,2013
6/7/2013,a009000000DWEQV,2013
6/7/2013,a009000000DTUM4,2013
6/7/2013,a009000000DTUM1,2013
6/7/2013,a009000000DTULg,2013
6/7/2013,a009000000DWEQZ,2013
6/7/2013,a009000000DTULq,2013
6/7/2013,a009000000DTUM3,2013
6/7/2013,a009000000DTUM3,2013
6/7/2013,a009000000DTULY,2013
6/7/2013,a009000000DWEQU,2013
6/7/2013,a009000000DTULl,2013
6/7/2013,a009000000DWEQS,2013
6/7/2013,a009000000DWEQY,2013
6/7/2013,a009000000DWEQW,2013
6/7/2013,a009000000DWEQT,2013
6/7/2013,a009000000DTUPs,2013
6/7/2013,a009000000DTUM2,2013
6/7/2013,a009000000DTUM2,2013
6/7/2013,a009000000DTUM2,2013
6/7/2013,a009000000DTUM2,2013
6/7/2013,a009000000DTULy,2013
6/7/2013,a009000000DTULx,2013
6/7/2013,a009000000DTULw,2013
6/7/2013,a009000000DTULv,2013
6/7/2013,a009000000DTULu,2013
6/7/2013,a009000000DTULs,2013
6/7/2013,a009000000DTULf,2013
6/7/2013,a009000000DTULe,2013
6/7/2013,a009000000DTULZ,2013
6/8/2013,a009000000CQsS5,2013
6/8/2013,a009000000G6sF2,2013
6/10/2013,a009000000KpWpo,2013
6/10/2013,a009000000DWETQ,2013
6/10/2013,a009000000DTUMa,2013
6/10/2013,a009000000G6cFX,2013
6/10/2013,a009000000G6cFX,2013
