Household: Household ID,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017
a0090000004EdZK,25767.98,1442894.8,1307500,148412.5,0
a0090000004GCvh,50000,31800,78958.11,37750,0
a0090000004GD0l,227450,177535,179550,220847.96,0
a0090000004GDED,36405.61,21312.5,40687.5,25187.5,0
a0090000004GDS2,387.5,0,0,0,0
a0090000004GDgB,4000,0,0,0,0
a0090000004GDkT,0,0,0,387.5,0
a0090000004GDlh,0,92200,50000,25500,0
a0090000004GDpL,0,14000,0,0,0
a0090000004GDs0,40000,70000,32000,0,0
a0090000004GEIS,0,10000,0,0,0
a0090000004GEWC,24000,0,0,2400,0
a0090000004GEp6,91246.75,0,88888,60000,0
a0090000004GF5Z,0,500,0,0,0
a0090000004GFCo,60500,67950,35720,25030,0
a0090000004GFLd,0,142800,0,52500,0
a0090000004GFrZ,5000,0,0,24300,0
a0090000004GNPZ,26084.48,6379.21,0,5994.9,0
a0090000004GNT4,1000,0,0,0,0
a0090000004GNgq,214400,344500,1708000,764300,0
a0090000004GNmb,0,4635,2500,500,0
a0090000004GNrV,14802.25,17000,11037.5,12090,0
a0090000004GNyw,6431.75,6500,2500,0,0
a0090000004GOUI,302000,1128700,101100,102000,0
a0090000004GOkd,134000,71000,40000,122450,0
a0090000004GPP8,55500,0,0,0,0
a0090000004GPuB,31030,0,0,0,0
a0090000004GPxZ,1845,0,0,0,0
a0090000004GPyy,7750,0,0,0,0
a0090000004GQ0o,0,16000,0,21615.27,0
a0090000004GQ7f,0,97898,80508,75887.17,0
a0090000004GQAf,1605461.15,3191956,48000,132400,0
a0090000004GQWl,34365,0,0,0,0
a0090000004GZ5R,1937.5,0,0,0,0
a0090000004GZ8a,0,3000,0,0,0
a0090000004GZ9w,124160,141493.75,195687.5,0,0
a0090000004GZFb,20149,0,7670,43029.45,0
a0090000004GZNf,310000,0,0,0,0
a0090000004GZR0,30006.74,1373.75,1615.18,11943.77,0
a0090000004GZVe,100000,60000,60000,0,0
a0090000004GZf7,11472,0,0,0,0
a0090000004GZzE,41200,30000,193750,100000,0
a0090000004GZzv,29837.5,0,152000,0,0
a0090000004GaEp,1000,0,0,0,0
a0090000004GaNj,1000,0,0,0,0
a0090000004GaNk,1200,7000,10000,6900,0
a0090000004hQEY,13500,0,500,3000,0
a0090000004jwZ8,7051.8,514.5,0,0,0
a0090000005JMlc,56000,360000,180000,143100,0
a0090000006OwDL,600000,329000,500000,400000,0
a0090000006Pmeh,39125,48500,25192,42246,0
a0090000006Pmvf,12000,0,0,0,0
a0090000006j5MG,60701.85,24000,0,34200,11800
a0090000008MQqb,42000,0,8000,0,0
a0090000008Mdzf,25360,17780,0,0,0
a0090000009aVWq,7750,71345.74,0,0,0
a0090000009aonq,3138.75,0,0,0,0
a0090000009b5WR,0,4000,0,3250,0
a0090000009b5Zl,5474,0,0,0,0
a0090000009b5he,0,0,0,880,0
a0090000009b5iN,10510,0,3991.25,0,0
a0090000009b5jc,0,500,12000,0,0
a0090000009b5kq,1500,0,0,0,0
a0090000009b5kw,0,3000,0,0,0
a0090000009b5lq,0,0,0,1000,0
a0090000009b5ml,0,0,0,1000,0
