"Amount Currency","Amount","Donation ID","Household: Household ID","Organization Name: Organization ID","Close Date","Primary Campaign Source: Campaign Name","Donation Record Type","Contact: Primary Country"
"HKD","24000.00","0069000000Bi0a8","a0090000005JMlc","0019000001XfHa8","9/2/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","50000.00","0069000000CjQdE","a0090000004GCoJ","0019000000Dp30E","8/22/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","25767.98","0069000000AJpJd","a0090000004EdZK","0019000000Dp34o","6/28/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","27000.00","0069000000CjQWu","a0090000009b6Ft","0019000000Dp3Uz","10/29/2013","Banquet - Hong Kong 2013","GW Auction Ticket","Hong Kong"
"HKD","0.00","0069000000BiEFj","a0090000004GDHG","0019000000Dp317","7/9/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","7000.00","0069000000DT6Kf","a009000000LKzCz","0019000000WOdFG","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","8000.00","0069000000DT6Ke","a009000000JrKxr","0019000000jq9sw","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","6400.00","0069000000DT6Kd","a009000000KokfG","0019000000WOQzC","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","9500.00","0069000000DT6Kc","a009000000LLZai","0019000000WOfqT","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","11000.00","0069000000DT6Kb","a009000000JsZLI","0019000000WNO3y","10/16/2013","Banquet - Hong Kong 2013","GW Auction Purchased Item","United Kingdom"
"HKD","22816.35","0069000000DT6Ka","a0090000004GZG9","0019000000Dp3fA","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","13900.00","0069000000DT6KZ","a0090000004GaGk","0019000000Dp3r1","10/24/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","21000.00","0069000000DT6KY","a009000000BmOJH","0019000000O2ycP","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Philippines"
"HKD","6000.00","0069000000DT6PY","a0090000009b5Vt","0019000000Dp30S","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","2800.00","0069000000DT6PX","a009000000KIeRT","0019000000WO2B2","10/16/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","7000.00","0069000000DT6PW","a0090000004GFCo","0019000000Dp3Cn","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","16000.00","0069000000DT68H","a009000000KpWpo","0019000000OuI4l","10/15/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","13888.80","0069000000DT68G","a0090000009b6Lj","0019000000Dp3Zx","10/12/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","9000.00","0069000000DT68F","a0090000004GEEh","0019000000Dp35G","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","22090.45","0069000000DT68D","a009000000KpJfv","0019000000WOR54","10/17/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","4200.00","0069000000DT68C","a009000000LMMET","0019000000WOow9","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","46000.00","0069000000DT68B","a0090000004GCtg","0019000000Dp2zG","3/11/2014","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","9800.00","0069000000DT68A","a009000000LLjRk","0019000000WOhEN","10/16/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","29000.00","0069000000DT689","a009000000JqZeg","0019000000WN2mB","10/15/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","10859.35","0069000000DT688","a0090000004GEp7","0019000000Dp3Bt","10/16/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","20000.00","0069000000DT687","a009000000KpKge","0019000000WORDN","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","0.00","0069000000DSBG0","a0090000004GCqA","0019000000Dp2yz","10/3/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","0.00","0069000000DSBFR","a0090000004GZY2","0019000000Dp3hc","10/3/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","United States"
"HKD","2250.00","0069000000ClUuo","a009000000JMpYh","0019000000WMPGz","9/19/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","0.00","0069000000ClUvm","a009000000AuTwq","0019000000Dp3Fk","9/24/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","0.00","0069000000ClgJZ","a0090000004GEKL","0019000000Dp36f","9/26/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","7365.05","0069000000DSg4l","a0090000004GQD6","0019000000Dp3VC","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","United States"
"HKD","3000.00","0069000000DSg4k","a009000000CR1Hc","0019000000MrarX","10/17/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","10683.45","0069000000DSg4j","a009000002FL6kI","0019000001XfHbx","10/17/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","20000.00","0069000000DSg4i","a009000001769Q7","0019000000Dp3Sm","10/29/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","0.00","0069000000ClgPH","a0090000009b5tF","0019000000Dp34k","9/26/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","6000.00","0069000000DSg4f","a0090000004GZG9","0019000000Dp3f9","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","30000.00","0069000000DSg4e","a0090000005JMlc","0019000001XfHa8","10/15/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","15500.00","0069000000DSg4b","a0090000009b6Cv","0019000000Dp3lr","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","0.00","0069000000DSAzS","a0090000009b61L","0019000000GRqAU","10/3/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","11300.00","0069000000DSg4d","a009000000LL6Ir","0019000000WOdXd","10/11/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","0.00","0069000000DSBGZ","a0090000009b6Zv","0019000000Dp3kS","10/3/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Australia"
"HKD","0.00","0069000000DSB0f","a009000000KnQko","0019000000WOAvF","10/3/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","2000.00","0069000000DSg4n","a009000000Kp4nQ","0019000000WOR2a","10/10/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","13898.25","0069000000DSg4m","a0090000009b6WW","0019000000Dp3cq","12/24/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","48000.00","0069000000Bi0Vg","a0090000009b68F","0019000000Dp37f","7/2/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","24000.00","0069000000Bk72H","a0090000009b6Yp","0019000000Dp3qA","8/8/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","2000.00","0069000000CkJHh","a009000000ARaqJ","0019000000M6Efq","9/4/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","50000.00","0069000000DSgDo","a009000000KpTrD","0019000000WORSr","10/10/2013","Banquet - Hong Kong 2013","GW Auction Purchased Item","Hong Kong"
"HKD","29001.00","0069000000DSgDn","a009000000Kpb3k","0019000000WORil","10/10/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","9200.00","0069000000DSgDm","a009000000LN6oy","0019000000WOrzT","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","24000.00","0069000000DSgDl","a0090000009b5yd","0019000000GRq2a","12/24/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","62000.00","0069000000DSgDk","a009000000KIVwS","0019000000WO1Ox","10/17/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","13500.00","0069000000DSgDj","a0090000004GkPJ","0019000000Dp3rb","10/10/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","8800.00","0069000000DSgDh","a009000000Or1gT","0019000000jq9st","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","22000.00","0069000000DSgDg","a0090000009b68F","0019000000Dp37f","10/17/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","14520.35","0069000000DSgDf","a0090000009b6Oo","0019000000EM2UY","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","39000.00","0069000000DSgDe","a009000000KpF1l","0019000000OuI4M","11/19/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","4000.00","0069000000Ck7fS","a0090000008MNma","0019000000Kegp8","9/5/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","70000.00","0069000000DSgDd","a0090000004GPoW","0019000000Dp3Tr","10/16/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","18000.00","0069000000DSgDc","a009000000KIW9o","0019000000WO1Od","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","15500.00","0069000000DSgDb","a0090000004GPP8","0019000000Dp3T0","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","52000.00","0069000000DSgDa","a009000000KmzXy","0019000000Dp3Zi","11/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","18000.00","0069000000ClbAB","a0090000004GYtO","0019000000Dp3dd","9/25/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","0.00","0069000000ClgLA","a0090000004GEKL","0019000000Dp36f","9/26/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","24000.00","0069000000DSBAX","a0090000004GOUI","0019000001XfHc9","10/3/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","0.00","0069000000Bi0hf","a009000000DWhoP","0019000000Pzk8b","7/8/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","24000.00","0069000000Bi0U4","a0090000004GDFB","0019000000Dp30t","7/4/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","24000.00","0069000000Cjv9g","a0090000006j5MG","0019000000GRqBr","9/5/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","4000.00","0069000000Ck7j8","a0090000009b66Y","0019000000Dp3MX","9/2/2013","Banquet - Hong Kong 2013","GW Auction Ticket","Hong Kong"
"HKD","50000.00","0069000000Bi0Sx","a0090000004GQD6","0019000000Dp3VC","7/1/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","United States"
"HKD","24000.00","0069000000ClVY3","a0090000009b5yp","0019000000GRq2m","9/23/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","27000.00","0069000000ClVEW","a0090000009b6Ra","0019000000Dp3bT","9/25/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","0.00","0069000000ClgNG","a0090000009b6BO","0019000000Dp3gv","9/26/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","2802.25","0069000000DSg9F","a0090000004GNrV","0019000000Dp3KS","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","United Kingdom"
"HKD","9000.00","0069000000DSg9E","a009000000KIWSB","0019000000jq9sv","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","13401.00","0069000000DSg9D","a009000000Or1g8","0019000000jq9sY","10/16/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","8700.00","0069000000DSg9C","a0090000009b6dh","0019000000FmNZO","10/28/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","12964.85","0069000000DSg9B","a0090000009b629","0019000000GRqAc","10/17/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","United Kingdom"
"HKD","6200.00","0069000000DSg9A","a009000000JNRvd","0019000000WMan7","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","5100.00","0069000000DSg99","a0090000004GEmP","00190000015yhYK","10/15/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","3400.00","0069000000DSg98","a0090000009b5kP","0019000000Dp3Ei","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","24000.00","0069000000DSB4s","a0090000004GOUI","0019000001XfHc9","10/3/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","27000.00","0069000000ClfxV","a0090000009b65f","0019000000GRzzG","9/26/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Spain"
"HKD","40000.00","0069000000DSg9L","a009000000LN6bF","0019000000GRzzM","10/29/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","2500.00","0069000000DSg9K","a009000000CPlab","0019000000jq9se","10/16/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","21000.00","0069000000DSg9J","a0090000009b64j","0019000000GRzyI","10/16/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","11000.00","0069000000DSg9G","a0090000009b6AY","0019000000Dp388","10/29/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","United States"
"HKD","17631.35","0069000000DT5mY","a009000000LMNLz","0019000000WOowJ","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","49400.00","0069000000DT5mX","a0090000009b5zC","0019000000GRq30","10/16/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","6431.75","0069000000DT5mV","a0090000004GNyw","0019000000Dp3Ky","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","5888.00","0069000000DT5mU","a0090000009b64f","0019000000GRzyE","10/16/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","49777.31","0069000000DT5mT","a0090000004GQP7","0019000000Dp3WA","10/17/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","United States"
"HKD","4800.00","0069000000DT5md","a0090000009b65V","0019000000GRzz4","10/17/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","13600.00","0069000000DT5mb","a0090000009b64j","0019000000GRzyI","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","30000.00","0069000000DT5ma","a0090000009b6O7","0019000000Dp369","10/29/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","United States"
"HKD","10600.00","0069000000DT5mS","a009000000KIeAe","0019000000WO29I","10/16/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","27125.00","0069000000ClVQj","a0090000005LIi5","0019000000Dp3Jy","11/29/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","United States"
"HKD","21500.00","0069000000DSg9M","a0090000009b5l4","0019000000EIh2K","10/16/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","12000.00","0069000000Ck7ej","a009000000LN6bF","0019000000GRzzM","9/5/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","0.00","0069000000DSd62","a0090000004GR8g","0019000000Dp30a","10/10/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","6224.35","0069000000DT5mR","a009000000LKHZs","0019000000WOcFI","10/17/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","20000.00","0069000000DT5mQ","a009000000AuTwq","0019000000MsErB","12/24/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","21505.00","0069000000DT5wU","a0090000009b629","0019000000GRqAc","10/16/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","United Kingdom"
"HKD","75500.00","0069000000DT5wT","a009000003QweWe","0019000000Dp3M9","10/15/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","12200.00","0069000000DT5wS","a009000000LLWf1","0019000000WOfeq","10/15/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","10000.00","0069000000DT5wR","a009000000KpNWu","0019000000WORF7","10/12/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","10000.00","0069000000DT5wQ","a009000000LN6dx","0019000000WOrwt","10/15/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","12000.00","006900000088XQL","a0090000005JMlc","0019000001XfHa8","5/29/2012","Banquet - Hong Kong 2012","Recurring Donations","Hong Kong"
"HKD","24120.00","006900000088XQK","a0090000004GR8g","0019000000Dp30a","12/21/2012","Banquet - Hong Kong 2012","Recurring Donations","Hong Kong"
"HKD","12446.35","0069000000DT6Ph","a009000000KoSO6","0019000000WONeX","10/17/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","4100.00","0069000000DT6Pg","a009000000LMCpf","0019000000WOnMC","10/12/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","9050.00","0069000000DT6Pf","a009000000KIeUi","0019000000WO2C0","12/24/2013","Banquet - Hong Kong 2013","GW Auction Purchased Item","Hong Kong"
"HKD","27000.00","0069000000Clfk9","a0090000006OwDL","0019000000Dp3Pt","9/26/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","13800.00","0069000000DT6Pe","a009000002FL6kQ","0019000001XfHc2","10/16/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","2400.00","0069000000DT6Pd","a009000000HnfZ3","0019000000SBajX","10/17/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","155000.00","0069000000CkqWN","a0090000009b6Z9","0019000000Dp3qY","9/26/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","194000.00","006900000088XTW","a0090000005LIi5","0019000000Dp3Jy","10/16/2012","Banquet - Hong Kong 2012","One-Time Donation","United States"
"HKD","60000.00","006900000088XTH","a0090000009b6Wt","0019000000Dp3jr","10/16/2012","Banquet - Hong Kong 2012","Recurring Donations","Hong Kong"
"HKD","18000.00","0069000000Bk6xQ","a0090000009b5hM","0019000000Jnvs1","8/5/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","27000.00","0069000000Bi0VR","a009000002fQoF5","0019000000Dp3T7","9/25/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Australia"
"HKD","0.00","0069000000ClgOn","a0090000009b6dh","0019000000Dp3Ow","9/26/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","27000.00","0069000000ClgBo","a0090000004GOuj","0019000000Dp3OQ","9/26/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","12000.00","0069000000DS6Es","a0090000004GP2W","0019000000Dp3Ot","9/26/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","24000.00","0069000000ClVM2","a0090000018zQ7A","0019000000Dp3Et","9/19/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","12500.00","0069000000Ck7ip","a0090000009b6aS","0019000000Dp375","9/26/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","0.00","0069000000DSB3L","a0090000009b6bt","0019000000Dp3PP","10/3/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","0.00","0069000000ClgYN","a0090000006OwGD","0019000000Dp2mU","9/26/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","0.00","0069000000DSBGF","a0090000004GQWl","0019000000Dp3Xa","10/3/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Australia"
"HKD","0.00","0069000000DSBDB","a0090000004GDpL","0019000000Dp33l","10/3/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","20000.00","0069000000DSgDx","a0090000009b68F","0019000000Dp37f","10/17/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","237000.00","0069000000DSgDw","a0090000009b64X","0019000000GRzy6","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","39800.00","0069000000DSgDv","a009000000LKFRe","0019000000WO7ZF","10/11/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","38888.00","0069000000DSgDu","a009000000LN6kZ","0019000000WOrzD","10/24/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","0.00","0069000000Clfpo","a0090000004GQ0o","0019000000Dp3Tj","9/26/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Australia"
"HKD","24000.00","0069000000CkJIz","a0090000004GNgq","0019000000Dp3IX","9/2/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","24000.00","0069000000CjvAd","a0090000004GCvh","0019000000Dp2zL","8/29/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","24000.00","0069000000CjQWk","a0090000009b5Vt","0019000000Dp3OD","9/2/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","16000.00","0069000000CjvOr","a0090000008Mdzf","0019000000Dp36z","10/29/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","United States"
"HKD","14500.00","0069000000Ck7i7","a0090000009b5yA","0019000000GRq1n","10/3/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","0.00","0069000000ClgYX","a0090000004GNyw","0019000000Dp3Kz","9/26/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Hong Kong"
"HKD","0.00","0069000000ClgY8","a0090000009b6Er","0019000000Gwrpg","9/26/2013","Banquet - Hong Kong 2013 Tickets","GW Auction Ticket","Other"
"HKD","39200.00","0069000000DT54k","a009000000mNbze","0019000000uR5BY","10/21/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","12000.00","0069000000DT54j","a0090000009b5yp","0019000000GRq2m","10/16/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
"HKD","52000.00","0069000000DT54f","a0090000009b6HU","0019000000Dp3hY","10/17/2013","Banquet - Hong Kong 2013 Attendees","GW Auction Purchased Item","Hong Kong"
