Household: Household ID,FY 2014,FY 2015,FY 2016,FY 2017
-,1,2,37,0
a0090000004EdZK,0,0,1,0
a0090000004GCoJ,0,0,1,0
a0090000004GCqA,0,0,1,0
a0090000004GCtg,0,0,1,0
a0090000004GD0l,0,0,1,0
a0090000004GDFB,0,1,1,0
a0090000004GDHG,0,0,1,0
a0090000004GEKP,0,0,1,0
a0090000004GEMM,0,0,1,0
a0090000004GESj,0,0,1,0
a0090000004GEbs,0,0,1,0
a0090000004GEmP,0,0,3,0
a0090000004GFCo,1,0,0,0
a0090000004GFG6,0,0,1,0
a0090000004GFHz,0,0,1,0
a0090000004GFLd,0,0,1,0
a0090000004GNNl,0,0,1,0
a0090000004GNWb,0,0,1,0
a0090000004GNgq,0,0,2,0
a0090000004GNnp,1,0,0,0
a0090000004GNpk,0,0,1,0
a0090000004GNrV,0,0,1,0
a0090000004GNx1,0,0,2,0
a0090000004GOAX,0,0,2,0
a0090000004GOUI,0,0,1,0
a0090000004GOfE,0,0,1,0
a0090000004GOkd,0,0,3,0
a0090000004GP2W,0,0,3,0
a0090000004GPO4,0,0,2,1
a0090000004GQ7f,0,1,0,0
a0090000004GYl9,0,0,2,0
a0090000004GYtO,0,2,0,0
a0090000004GYtR,0,0,1,0
a0090000004GZ9w,0,0,1,0
a0090000004GZPx,0,0,5,0
a0090000004GZds,0,0,1,0
a0090000004GZzE,0,0,5,0
a0090000004GZzv,0,0,1,0
a0090000004Ga2E,0,0,2,0
a0090000004Ga4c,0,1,2,0
a0090000004GaAf,0,0,2,0
a0090000004GaGk,0,0,4,1
a0090000004GaI4,0,0,1,0
a0090000004GaNk,0,0,1,0
a0090000004GkPJ,0,0,1,0
a0090000004gnrR,0,0,2,0
a0090000005J0mY,0,0,1,0
a0090000005LIi5,0,0,1,0
a0090000006OwDL,0,0,2,1
a0090000006OwGD,0,0,2,0
a0090000006j5MG,0,0,1,0
a0090000006jGEK,0,0,3,0
a0090000008LZL2,1,0,1,0
a0090000009b5Vt,0,0,2,0
a0090000009b5fw,0,0,2,0
a0090000009b5gp,0,0,2,0
a0090000009b5jf,0,0,3,0
a0090000009b5kh,1,0,0,0
a0090000009b5n2,0,0,1,0
a0090000009b5nE,1,0,0,0
a0090000009b5nK,0,0,1,0
a0090000009b5om,0,0,1,0
a0090000009b5pe,0,1,0,0
a0090000009b5qc,0,0,3,0
a0090000009b5r8,0,1,0,0
a0090000009b5rD,0,0,1,0
a0090000009b5sd,0,1,0,0
a0090000009b5tF,0,0,1,0
a0090000009b5ua,0,0,1,0
a0090000009b5vI,0,0,1,0
a0090000009b5vt,0,0,1,0
a0090000009b5y8,0,0,1,0
a0090000009b60S,0,0,1,0
a0090000009b61U,1,0,0,0
a0090000009b61W,0,0,1,0
a0090000009b62X,0,0,1,0
a0090000009b62c,0,0,1,0
a0090000009b634,0,0,1,0
a0090000009b63Z,0,0,2,0
a0090000009b66L,0,0,2,0
a0090000009b68F,0,0,1,0
a0090000009b68G,0,0,1,0
a0090000009b6BI,0,1,0,0
a0090000009b6Dn,0,0,5,0
a0090000009b6Ex,0,0,3,0
a0090000009b6Ft,0,0,1,0
a0090000009b6JI,0,0,1,0
a0090000009b6K9,0,0,1,0
a0090000009b6LZ,0,1,1,0
a0090000009b6Lj,0,0,1,0
a0090000009b6Lr,1,0,0,0
a0090000009b6O8,0,0,1,0
a0090000009b6OP,0,0,1,0
a0090000009b6Oi,0,0,2,0
a0090000009b6PX,0,0,2,0
a0090000009b6Py,0,0,2,0
a0090000009b6Ra,0,0,4,0
a0090000009b6Sn,0,0,1,0
a0090000009b6VU,0,0,2,0
a0090000009b6WW,0,0,1,0
a0090000009b6aL,0,0,1,0
a0090000009b6bt,0,0,1,0
a0090000009b6cY,0,0,2,0
a0090000009b6dJ,0,0,1,0
a0090000009b6dh,0,0,1,0
a0090000009b6kn,0,0,3,0
a0090000009b6lW,0,0,1,0
a0090000009b6lf,0,0,1,0
a009000000ARaqJ,0,2,5,0
a009000000AStsi,0,0,2,0
a009000000ATRSI,0,0,1,0
a009000000ATyns,0,0,1,0
a009000000AuTwq,0,0,4,0
a009000000AvxfA,0,0,1,0
a009000000Blix6,0,1,0,0
a009000000BmOJH,0,1,0,0
