Household: Household ID,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017
a0090000004EdZK,1,6,2,3,0
a0090000004GCvh,4,6,8,5,0
a0090000004GD0l,5,4,4,11,0
a0090000004GDED,6,11,11,10,0
a0090000004GDPL,2,0,0,1,0
a0090000004GDS2,1,0,0,0,0
a0090000004GDgB,1,0,0,0,0
a0090000004GDkT,0,0,0,1,0
a0090000004GDlh,1,7,4,3,0
a0090000004GDpL,0,1,0,2,0
a0090000004GDs0,1,2,1,0,0
a0090000004GEIS,0,1,0,0,0
a0090000004GEQ2,2,0,0,0,0
a0090000004GEWC,1,0,0,1,0
a0090000004GEbs,1,5,3,1,0
a0090000004GEld,0,0,0,1,0
a0090000004GEp6,2,0,1,1,0
a0090000004GEp7,1,0,0,0,0
a0090000004GEtJ,0,1,1,1,0
a0090000004GF5Z,0,1,0,0,0
a0090000004GFCo,5,6,4,6,0
a0090000004GFKF,1,1,0,3,0
a0090000004GFLd,0,5,0,5,0
a0090000004GFrZ,1,0,0,2,0
a0090000004GFw7,0,1,0,0,0
a0090000004GNMh,1,0,0,0,0
a0090000004GNNl,2,0,2,0,0
a0090000004GNPZ,25,3,0,1,0
a0090000004GNT4,1,0,0,0,0
a0090000004GNgq,11,9,13,7,0
a0090000004GNmb,0,2,1,1,0
a0090000004GNrV,2,3,7,12,0
a0090000004GNyw,1,1,1,0,0
a0090000004GOUI,15,18,19,15,0
a0090000004GOkd,3,2,1,5,0
a0090000004GP2W,2,3,2,0,0
a0090000004GPP8,2,0,0,0,0
a0090000004GPuB,2,0,0,0,0
a0090000004GPxZ,1,0,0,0,0
a0090000004GPyy,1,0,0,0,0
a0090000004GQ0o,0,2,0,2,0
a0090000004GQ7f,0,3,5,12,0
a0090000004GQAf,8,9,2,3,0
a0090000004GQWl,4,0,0,0,0
a0090000004GZ5R,1,0,0,0,0
a0090000004GZ8a,0,1,0,0,0
a0090000004GZ9w,1,4,3,0,0
a0090000004GZFb,3,0,1,6,0
a0090000004GZNf,1,0,0,0,0
a0090000004GZPx,3,1,2,1,0
a0090000004GZR0,2,2,2,10,0
a0090000004GZVe,1,1,1,0,0
a0090000004GZf7,1,0,0,0,0
a0090000004GZiS,1,3,3,6,0
a0090000004GZzE,1,1,1,1,0
a0090000004GZzv,1,0,2,0,0
a0090000004GaEp,1,0,0,0,0
a0090000004GaNj,1,0,0,0,0
a0090000004GaNk,1,2,1,3,0
a0090000004hQEY,1,0,1,1,0
a0090000004iT5V,2,3,0,0,0
a0090000004jwSt,1,0,0,0,0
a0090000004jwZ8,14,1,0,0,0
a0090000005JMlc,3,4,6,5,0
a0090000005Jt2f,0,1,0,0,0
a0090000006OwDL,1,4,3,3,0
a0090000006Pmeh,3,2,7,6,0
a0090000006Pmvf,1,0,0,0,0
a0090000006ixCg,1,0,0,0,0
a0090000006j5MG,6,1,0,3,1
a0090000006j6EU,1,0,0,0,0
a0090000008LZL2,2,0,4,1,0
a0090000008MQqb,2,0,1,0,0
a0090000008Mdzf,5,1,0,0,0
a0090000009aVWq,1,3,0,0,0
a0090000009anp5,0,0,0,1,0
a0090000009aonq,1,0,0,0,0
a0090000009b5WR,0,1,0,3,0
a0090000009b5Zl,3,0,0,0,0
a0090000009b5fU,1,0,0,0,0
a0090000009b5he,0,0,0,1,0
a0090000009b5iN,3,0,1,0,0
a0090000009b5iZ,0,0,1,0,0
a0090000009b5jc,0,1,1,0,0
a0090000009b5kP,2,0,0,0,0
