"Contact.ID","blank","others","emails","mails","calls","meetings","presentations","events","Total.Household.Gifts","Gave","bulk_email"
"0039000000DXk51",0,0,33,0,0,2,0,0,314076,TRUE,TRUE
"0039000000DXka3",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkad",1,0,0,0,0,0,0,0,6659.7,TRUE,FALSE
"0039000000DXkaJ",0,0,2,0,0,0,0,0,54300,TRUE,FALSE
"0039000000DXkal",0,0,10,0,0,0,0,0,314076,TRUE,TRUE
"0039000000DXkam",1,0,0,0,0,0,0,0,74744,TRUE,FALSE
"0039000000DXkaR",0,0,63,1,0,3,0,0,116083.97,TRUE,TRUE
"0039000000DXkaT",1,0,0,0,0,0,0,0,172080,TRUE,FALSE
"0039000000DXkb7",0,0,1,0,0,0,0,0,51138,TRUE,FALSE
"0039000000DXkba",1,0,0,0,0,0,0,0,38500,TRUE,FALSE
"0039000000DXkbB",1,0,0,0,0,0,0,0,6150,TRUE,FALSE
"0039000000DXkbc",0,0,1,0,0,0,0,0,489072.89,TRUE,FALSE
"0039000000DXkbG",1,0,0,0,0,0,0,0,13090.7,TRUE,FALSE
"0039000000DXkbk",1,0,0,0,0,0,0,0,207988.5,TRUE,FALSE
"0039000000DXkbl",1,0,0,0,0,0,0,0,207988.5,TRUE,FALSE
"0039000000DXkbm",1,0,0,0,0,0,0,0,40380,TRUE,FALSE
"0039000000DXkbo",0,0,1,0,0,0,0,0,908219.73,TRUE,FALSE
"0039000000DXkbq",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkbr",1,0,0,0,0,0,0,0,10455.25,TRUE,FALSE
"0039000000DXkbs",0,0,6,0,0,0,0,0,12472,TRUE,FALSE
"0039000000DXkbS",0,0,7,0,0,0,0,0,144648,TRUE,FALSE
"0039000000DXkbU",1,0,0,0,0,0,0,0,334398,TRUE,FALSE
"0039000000DXkbX",1,0,0,0,0,0,0,0,13090.7,TRUE,FALSE
"0039000000DXkbZ",1,0,0,0,0,0,0,0,38500,TRUE,FALSE
"0039000000DXkc0",0,2,7,1,0,2,0,0,394733.35,TRUE,FALSE
"0039000000DXkc2",0,0,1,0,0,1,0,0,33751.1,TRUE,FALSE
"0039000000DXkc3",0,0,3,0,0,0,0,0,361374.01,TRUE,FALSE
"0039000000DXkcD",1,0,0,0,0,0,0,0,36847,TRUE,FALSE
"0039000000DXkcg",1,0,0,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkcN",1,0,0,0,0,0,0,0,51855.6,TRUE,FALSE
"0039000000DXkcQ",0,0,1,0,0,0,0,0,13972,TRUE,FALSE
"0039000000DXkcr",0,0,1,0,0,0,0,0,23434,TRUE,FALSE
"0039000000DXkcx",0,0,13,0,0,1,0,0,638750,TRUE,TRUE
"0039000000DXkcY",0,0,5,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkcZ",0,0,2,0,0,0,0,0,0,FALSE,FALSE
"0039000000DXkd3",0,0,2,0,0,0,0,0,28924.75,TRUE,FALSE
